Instance,iteration,violations,cost,Institution,Rank
m04.json,10,0,5486,Ortec,35.5
m04.json,1,0,10039,Twente,43.0
m04.json,4,0,10039,Twente,43.0
m04.json,8,0,10039,Twente,43.0
m04.json,9,0,10039,Twente,43.0
m04.json,10,0,10039,Twente,43.0
m04.json,6,0,10040,Twente,46.5
m04.json,7,0,10040,Twente,46.5
m04.json,2,0,10137,Twente,48.5
m04.json,3,0,10137,Twente,48.5
m04.json,5,0,10809,Twente,50.0
m05.json,9,0,11956,V777V,1.0
m05.json,7,0,11963,V777V,2.0
m05.json,4,0,11966,V777V,3.0
m05.json,10,0,11969,V777V,4.0
m05.json,1,0,11970,V777V,5.0
m05.json,3,0,11972,V777V,6.0
m05.json,6,0,11990,V777V,7.0
m05.json,3,0,11992,Twente,8.5
m05.json,8,0,11992,Twente,8.5
m05.json,7,0,11993,Twente,10.5
m05.json,9,0,11993,Twente,10.5
m05.json,2,0,11994,Twente,12.0
m05.json,7,0,11995,SDU,13.0
m05.json,1,0,11998,Twente,15.0
m05.json,4,0,11998,Twente,15.0
m05.json,10,0,11998,Twente,15.0
m05.json,5,0,11999,Twente,17.5
m05.json,6,0,11999,Twente,17.5
m05.json,8,0,12000,V777V,19.0
m05.json,2,0,12002,V777V,20.0
m05.json,20,0,12010,UGent,21.0
m05.json,5,0,12018,V777V,22.0
m05.json,10,0,12020,SDU,23.0
m05.json,1,0,12023,SDU,24.0
m05.json,2,0,12037,SDU,25.0
m05.json,5,0,12040,SDU,26.0
m05.json,9,0,12044,SDU,27.0
m05.json,21,0,12060,UGent,28.0
m05.json,18,0,12070,UGent,29.0
m05.json,25,0,12073,UGent,30.0
m05.json,4,0,12078,SDU,31.0
m05.json,22,0,12080,UGent,32.0
m05.json,3,0,12087,SDU,33.0
m05.json,8,0,12091,SDU,34.0
m05.json,19,0,12110,UGent,35.0
m05.json,17,0,12114,UGent,36.0
m05.json,6,0,12125,SDU,37.0
m05.json,23,0,12126,UGent,38.0
m05.json,1,0,12131,Ortec,43.5
m05.json,2,0,12131,Ortec,43.5
m05.json,3,0,12131,Ortec,43.5
m05.json,4,0,12131,Ortec,43.5
m05.json,5,0,12131,Ortec,43.5
m05.json,6,0,12131,Ortec,43.5
m05.json,7,0,12131,Ortec,43.5
m05.json,8,0,12131,Ortec,43.5
m05.json,9,0,12131,Ortec,43.5
m05.json,10,0,12131,Ortec,43.5
m05.json,24,0,12400,UGent,49.0
m05.json,16,0,12461,UGent,50.0
m06.json,9,0,28250,V777V,1.0
m06.json,4,0,28265,Twente,2.0
m06.json,2,0,28290,V777V,3.0
m06.json,9,0,28300,Twente,4.0
m06.json,1,0,28310,Twente,10.5
m06.json,1,0,28310,Ortec,10.5
m06.json,2,0,28310,Ortec,10.5
m06.json,3,0,28310,Ortec,10.5
m06.json,4,0,28310,Ortec,10.5
m06.json,5,0,28310,Ortec,10.5
m06.json,6,0,28310,Ortec,10.5
m06.json,7,0,28310,Ortec,10.5
m06.json,8,0,28310,Ortec,10.5
m06.json,9,0,28310,Ortec,10.5
m06.json,10,0,28310,Ortec,10.5
m06.json,7,0,28310,V777V,10.5
m06.json,8,0,28315,V777V,17.0
m06.json,10,0,28320,Twente,18.0
m06.json,8,0,28325,Twente,19.5
m06.json,3,0,28325,V777V,19.5
m06.json,10,0,28350,V777V,21.0
m06.json,3,0,28360,Twente,22.5
m06.json,6,0,28360,V777V,22.5
m06.json,7,0,28385,Twente,24.5
m06.json,4,0,28385,V777V,24.5
m06.json,5,0,28395,V777V,26.0
m06.json,2,0,28420,Twente,27.0
m06.json,1,0,28430,V777V,28.0
m06.json,5,0,28445,Twente,29.0
m06.json,6,0,28465,Twente,30.0
m06.json,18,0,29125,UGent,31.0
m06.json,4,0,29286,SDU,32.0
m06.json,24,0,29300,UGent,33.0
m06.json,9,0,29345,SDU,34.0
m06.json,22,0,29400,UGent,35.0
m06.json,8,0,29433,SDU,36.0
m06.json,16,0,29435,UGent,37.0
m06.json,19,0,29445,UGent,38.5
m06.json,25,0,29445,UGent,38.5
m06.json,20,0,29460,UGent,40.0
m06.json,21,0,29465,UGent,41.0
m06.json,1,0,29511,SDU,42.0
m06.json,3,0,29565,SDU,43.5
m06.json,17,0,29565,UGent,43.5
m06.json,6,0,29676,SDU,45.0
m06.json,23,0,29680,UGent,46.0
m06.json,5,0,29685,SDU,47.0
m06.json,2,0,29760,SDU,48.0
m06.json,10,0,29820,SDU,49.0
m06.json,7,0,29953,SDU,50.0
m07.json,6,0,7329,V777V,1.0
m07.json,5,0,7330,V777V,2.0
m07.json,3,0,7334,V777V,3.0
m07.json,2,0,7348,V777V,4.0
m07.json,1,0,7352,V777V,5.0
m07.json,4,0,7354,V777V,6.0
m07.json,9,0,7375,V777V,7.0
m07.json,10,0,7400,V777V,8.0
m07.json,5,0,7406,SDU,9.0
m07.json,4,0,7426,SDU,10.0
m07.json,7,0,7429,V777V,11.0
m07.json,7,0,7441,SDU,12.0
m07.json,10,0,7460,SDU,13.0
m07.json,25,0,7469,UGent,14.0
m07.json,8,0,7542,V777V,15.0
m07.json,9,0,7550,SDU,16.0
m07.json,1,0,7569,Ortec,21.5
m07.json,2,0,7569,Ortec,21.5
m07.json,3,0,7569,Ortec,21.5
m07.json,4,0,7569,Ortec,21.5
m07.json,5,0,7569,Ortec,21.5
m07.json,6,0,7569,Ortec,21.5
m07.json,7,0,7569,Ortec,21.5
m07.json,8,0,7569,Ortec,21.5
m07.json,9,0,7569,Ortec,21.5
m07.json,10,0,7569,Ortec,21.5
m07.json,2,0,7577,SDU,27.0
m07.json,8,0,7596,SDU,28.0
m07.json,6,0,7598,SDU,29.0
m07.json,1,0,7610,SDU,30.0
m07.json,3,0,7618,SDU,31.0
m07.json,24,0,7655,UGent,32.0
m07.json,18,0,7677,UGent,33.0
m07.json,17,0,7700,UGent,34.0
m07.json,22,0,7828,UGent,35.0
m07.json,23,0,7918,UGent,36.0
m07.json,19,0,8054,UGent,37.0
m07.json,1,0,8136,Twente,40.0
m07.json,5,0,8136,Twente,40.0
m07.json,6,0,8136,Twente,40.0
m07.json,9,0,8136,Twente,40.0
m07.json,10,0,8136,Twente,40.0
m07.json,7,0,8139,Twente,43.5
m07.json,8,0,8139,Twente,43.5
m07.json,2,0,8140,Twente,46.0
m07.json,3,0,8140,Twente,46.0
m07.json,4,0,8140,Twente,46.0
m07.json,21,0,8154,UGent,48.0
m07.json,16,0,8165,UGent,49.0
m07.json,20,0,8192,UGent,50.0
m08.json,6,0,14976,V777V,1.0
m08.json,4,0,14978,V777V,2.0
m08.json,8,0,14981,V777V,3.0
m08.json,2,0,14983,V777V,4.0
m08.json,5,0,14993,V777V,5.0
m08.json,9,0,15010,V777V,6.0
m08.json,3,0,15018,V777V,7.0
m08.json,7,0,15044,V777V,8.0
m08.json,1,0,15056,V777V,9.0
m08.json,3,0,15066,SDU,10.0
m08.json,1,0,15069,Ortec,15.5
m08.json,2,0,15069,Ortec,15.5
m08.json,3,0,15069,Ortec,15.5
m08.json,4,0,15069,Ortec,15.5
m08.json,5,0,15069,Ortec,15.5
m08.json,6,0,15069,Ortec,15.5
m08.json,7,0,15069,Ortec,15.5
m08.json,8,0,15069,Ortec,15.5
m08.json,9,0,15069,Ortec,15.5
m08.json,10,0,15069,Ortec,15.5
m08.json,4,0,15092,SDU,21.0
m08.json,5,0,15093,SDU,22.0
m08.json,10,0,15103,V777V,23.0
m08.json,6,0,15123,SDU,24.0
m08.json,1,0,15178,SDU,25.0
m08.json,7,0,15181,SDU,26.0
m08.json,10,0,15183,SDU,27.0
m08.json,9,0,15195,SDU,28.0
m08.json,8,0,15299,SDU,29.0
m08.json,2,0,15304,SDU,30.0
m08.json,17,0,15391,UGent,31.0
m08.json,5,0,15573,Twente,32.0
m08.json,21,0,15588,UGent,33.0
m08.json,19,0,15610,UGent,34.0
m08.json,20,0,15618,UGent,35.0
m08.json,8,0,15636,Twente,36.0
m08.json,25,0,15650,UGent,37.0
m08.json,2,0,15658,Twente,38.0
m08.json,22,0,15684,UGent,39.0
m08.json,23,0,15707,UGent,40.0
m08.json,6,0,15716,Twente,41.0
m08.json,16,0,15737,UGent,42.0
m08.json,3,0,15746,Twente,43.0
m08.json,4,0,15766,Twente,44.0
m08.json,10,0,15776,Twente,45.0
m08.json,7,0,15783,Twente,46.0
m08.json,18,0,15791,UGent,47.0
m08.json,24,0,15831,UGent,48.0
m08.json,1,0,15857,Twente,49.0
m08.json,9,0,15901,Twente,50.0
m09.json,4,0,32967,Twente,2.0
m09.json,6,0,32967,Twente,2.0
m09.json,8,0,32967,Twente,2.0
m09.json,2,0,32968,Twente,5.0
m09.json,3,0,32968,Twente,5.0
m09.json,9,0,32968,Twente,5.0
m09.json,1,0,32969,Twente,8.5
m09.json,5,0,32969,Twente,8.5
m09.json,7,0,32969,Twente,8.5
m09.json,10,0,32969,Twente,8.5
m09.json,10,0,33340,SDU,11.0
m09.json,5,0,33374,V777V,12.0
m09.json,4,0,33379,SDU,13.0
m09.json,8,0,33381,V777V,14.0
m09.json,7,0,33415,SDU,15.0
m09.json,1,0,33420,SDU,16.0
m09.json,2,0,33424,SDU,17.0
m09.json,1,0,33427,V777V,18.0
m09.json,3,0,33429,SDU,19.0
m09.json,5,0,33437,SDU,20.0
m09.json,1,0,33438,Ortec,25.5
m09.json,2,0,33438,Ortec,25.5
m09.json,3,0,33438,Ortec,25.5
m09.json,4,0,33438,Ortec,25.5
m09.json,5,0,33438,Ortec,25.5
m09.json,6,0,33438,Ortec,25.5
m09.json,7,0,33438,Ortec,25.5
m09.json,8,0,33438,Ortec,25.5
m09.json,9,0,33438,Ortec,25.5
m09.json,10,0,33438,Ortec,25.5
m09.json,7,0,33446,V777V,31.0
m09.json,4,0,33488,V777V,32.0
m09.json,9,0,33499,V777V,33.0
m09.json,9,0,33507,SDU,34.0
m09.json,8,0,33511,SDU,35.0
m09.json,2,0,33520,V777V,36.0
m09.json,6,0,33539,SDU,37.0
m09.json,3,0,33551,V777V,38.0
m09.json,10,0,33565,V777V,39.0
m09.json,17,0,33596,UGent,40.0
m09.json,6,0,33654,V777V,41.0
m09.json,22,0,33763,UGent,42.0
m09.json,24,0,33794,UGent,43.0
m09.json,19,0,33849,UGent,44.0
m09.json,23,0,33914,UGent,45.0
m09.json,20,0,33966,UGent,46.0
m09.json,18,0,33992,UGent,47.0
m09.json,25,0,34016,UGent,48.0
m09.json,16,0,34088,UGent,49.0
m09.json,21,0,34220,UGent,50.0
m10.json,19,0,26027,UGent,1.0
m10.json,24,0,26038,UGent,2.0
m10.json,9,0,26053,SDU,3.0
m10.json,17,0,26055,UGent,4.0
m10.json,22,0,26072,UGent,5.0
m10.json,20,0,26075,UGent,6.0
m10.json,23,0,26077,UGent,7.0
m10.json,5,0,26081,V777V,8.0
m10.json,4,0,26091,Twente,9.5
m10.json,5,0,26091,Twente,9.5
m10.json,18,0,26100,UGent,11.0
m10.json,5,0,26105,SDU,12.0
m10.json,21,0,26111,UGent,13.0
m10.json,6,0,26113,SDU,14.0
m10.json,6,0,26126,V777V,15.0
m10.json,3,0,26127,Twente,16.5
m10.json,6,0,26127,Twente,16.5
m10.json,7,0,26128,V777V,18.0
m10.json,7,0,26132,Twente,19.0
m10.json,1,0,26133,Ortec,24.5
